 10 
 100 475 
 1 35 -19 
 1 44 -22 
 1 47 27 
 1 49 -66 
 1 58 -69 
 1 64 63 
 1 72 -89 
 1 73 -19 
 1 74 -69 
 1 76 -12 
 1 84 40 
 1 98 33 
 2 2 52 
 2 4 -20 
 2 20 5 
 2 24 2 
 2 45 -2 
 2 51 66 
 2 52 -66 
 2 53 41 
 2 62 -88 
 2 71 -2 
 2 76 -53 
 2 79 72 
 2 90 -64 
 3 13 -11 
 3 45 51 
 3 56 68 
 3 63 37 
 3 75 -40 
 3 86 57 
 3 87 70 
 3 96 51 
 4 12 -84 
 4 29 -44 
 4 30 -57 
 4 38 14 
 4 60 90 
 4 63 26 
 4 67 -94 
 4 88 52 
 4 99 -75 
 5 21 37 
 5 26 25 
 5 33 84 
 5 42 -57 
 5 46 72 
 5 53 100 
 5 55 42 
 5 67 5 
 5 75 -28 
 5 77 52 
 5 91 -50 
 5 93 -6 
 6 7 51 
 6 18 -18 
 6 26 70 
 6 39 -37 
 6 40 -50 
 6 44 -80 
 6 58 4 
 6 60 -3 
 6 65 -28 
 6 68 91 
 6 98 17 
 7 35 -90 
 7 36 -13 
 7 44 90 
 7 51 -43 
 7 61 89 
 7 82 10 
 7 85 -41 
 7 92 38 
 7 94 -84 
 7 95 23 
 8 21 8 
 8 42 -34 
 8 72 -64 
 8 75 5 
 8 88 -77 
 8 89 2 
 8 93 43 
 9 10 -14 
 9 15 -79 
 9 53 32 
 9 55 -16 
 9 58 -34 
 9 63 -76 
 9 73 -60 
 9 76 -57 
 9 85 -28 
 9 90 81 
 9 93 34 
 9 100 -39 
 10 19 87 
 10 29 59 
 10 48 -92 
 10 64 -34 
 10 71 20 
 10 87 40 
 10 88 -21 
 10 92 94 
 10 99 -7 
 11 29 -85 
 11 30 -18 
 11 38 79 
 11 56 100 
 11 60 -31 
 11 74 -72 
 11 89 -38 
 11 97 92 
 12 14 31 
 12 15 64 
 12 16 -35 
 12 45 16 
 12 53 7 
 12 60 -98 
 12 61 -79 
 12 63 -55 
 12 68 -21 
 12 76 83 
 12 94 15 
 12 100 -22 
 13 16 -6 
 13 41 18 
 13 44 15 
 13 50 -54 
 13 55 17 
 13 63 -10 
 13 73 -99 
 13 74 -56 
 13 79 78 
 13 88 -85 
 14 14 -33 
 14 16 90 
 14 20 -62 
 14 21 46 
 14 38 -18 
 14 43 86 
 14 65 -44 
 14 87 76 
 15 15 22 
 15 22 45 
 15 26 -48 
 15 46 5 
 15 47 -93 
 15 50 43 
 15 55 37 
 15 67 67 
 15 76 -83 
 15 93 -24 
 16 24 69 
 16 56 -8 
 16 65 57 
 16 91 -56 
 16 99 -99 
 17 21 -92 
 17 26 87 
 17 34 -19 
 17 38 -44 
 17 78 77 
 17 92 -56 
 18 27 -23 
 18 28 -14 
 18 33 99 
 18 35 1 
 18 59 -76 
 18 62 85 
 18 95 -40 
 18 97 31 
 19 44 -30 
 19 57 69 
 19 60 9 
 20 20 -98 
 20 34 45 
 20 45 -80 
 20 49 41 
 20 50 22 
 20 59 25 
 20 67 26 
 20 72 29 
 20 87 -56 
 20 90 32 
 20 94 -39 
 21 25 71 
 21 28 37 
 21 73 25 
 21 88 -5 
 21 92 -23 
 21 100 45 
 22 35 -39 
 22 44 -71 
 22 60 90 
 22 64 87 
 22 68 20 
 22 81 -86 
 22 100 20 
 23 35 6 
 23 62 18 
 23 97 -96 
 24 37 -64 
 24 42 -79 
 24 52 -42 
 24 61 -43 
 24 63 -27 
 24 69 -56 
 24 70 2 
 24 73 -89 
 25 26 70 
 25 29 15 
 25 32 6 
 25 33 78 
 25 50 -81 
 25 56 -29 
 25 62 76 
 25 75 -34 
 25 84 26 
 25 90 -89 
 25 96 -2 
 26 29 95 
 26 30 47 
 26 36 81 
 26 41 -75 
 26 60 31 
 26 61 47 
 26 62 -1 
 26 89 28 
 27 29 -24 
 27 45 -13 
 27 62 91 
 27 73 -91 
 27 85 -12 
 27 99 72 
 28 28 -47 
 28 38 45 
 28 41 75 
 28 48 -64 
 28 59 -1 
 28 64 29 
 28 74 73 
 28 97 62 
 29 57 -4 
 29 66 -4 
 29 75 70 
 29 86 -91 
 29 89 -9 
 29 94 66 
 30 37 -99 
 30 67 -87 
 30 74 84 
 30 75 27 
 30 76 -9 
 30 84 -22 
 30 100 84 
 31 32 47 
 31 48 97 
 31 52 -77 
 31 78 -65 
 32 36 20 
 32 48 70 
 32 58 9 
 32 61 -48 
 32 64 -21 
 32 69 17 
 32 77 -69 
 32 79 70 
 32 90 4 
 32 95 -26 
 32 96 2 
 33 37 3 
 33 45 2 
 33 51 -62 
 33 52 -44 
 33 55 -6 
 33 73 -79 
 33 76 14 
 33 82 51 
 33 86 -75 
 33 89 -96 
 33 96 -8 
 34 69 9 
 34 92 -92 
 35 37 47 
 35 41 27 
 35 58 -75 
 35 64 -86 
 35 76 4 
 35 80 -32 
 36 76 73 
 37 38 -86 
 37 43 -20 
 37 66 48 
 37 67 -97 
 37 69 -84 
 38 38 -32 
 38 42 5 
 38 46 30 
 38 54 18 
 38 60 -93 
 38 80 -92 
 38 89 -59 
 39 50 -3 
 39 74 -80 
 39 75 75 
 39 84 17 
 39 95 -71 
 39 98 -31 
 40 89 -23 
 40 99 82 
 41 46 -6 
 41 47 -17 
 41 55 -82 
 41 61 43 
 41 64 18 
 41 82 -42 
 41 84 -98 
 41 85 82 
 41 97 -56 
 41 98 50 
 42 60 -36 
 42 65 -74 
 42 87 -70 
 42 91 65 
 43 57 -40 
 43 62 -94 
 43 71 95 
 43 81 -78 
 43 91 -82 
